kode pelanggan,umur,kota,gender,education,keluarga,Pekerjaan,Penanggung,Usaha,punya_produk1,punya_produk2,punya_produk3,punya_produk4,punya_produk5,punya_produk6,jualan,omset,penghasilan,average_sisauang_mingguan_1BT,average_sisauang_mingguan_2BT,average_sisauang_mingguan_3BT,average_sisauang_mingguan_4BT,average_sisauang_mingguan_5BT,average_sisauang_mingguan_6BT,sisauang_akhir_1BT,sisauang_akhir_2BT,sisauang_akhir_3BT,sisauang_akhir_4BT,sisauang_akhir_5BT,sisauang_akhir_6BT,sisauang_tertahan_1BT,sisauang_tertahan_2BT,sisauang_tertahan_3BT,sisauang_tertahan_4BT,sisauang_tertahan_5BT,sisauang_tertahan_6BT,sisauang_tersedia_1BT,sisauang_tersedia_2BT,sisauang_tersedia_3BT,sisauang_tersedia_4BT,sisauang_tersedia_5BT,sisauang_tersedia_6BT,sisa_hutang_1BT,sisa_hutang_2BT,sisa_hutang_3BT,sisa_hutang_4BT,sisa_hutang_5BT,sisa_hutang_6BT,jumlah_pembayaran_hutang_1BT,jumlah_pembayaran_hutang_2BT,jumlah_pembayaran_hutang_3BT,jumlah_pembayaran_hutang_4BT,jumlah_pembayaran_hutang_5BT,jumlah_pembayaran_hutang_6BT,jumlah_pengeluaran_1BT,jumlah_pengeluaran_2BT,jumlah_pengeluaran_3BT,jumlah_pengeluaran_4BT,jumlah_pengeluaran_5BT,jumlah_pengeluaran_6BT,jumlah_pemasukan_1BT,jumlah_pemasukan_2BT,jumlah_pemasukan_3BT,jumlah_pemasukan_4BT,jumlah_pemasukan_5BT,jumlah_pemasukan_6BT,frekuensi_pengeluaran_1BT,frekuensi_pengeluaran_2BT,frekuensi_pengeluaran_3BT,frekuensi_pengeluaran_4BT,frekuensi_pengeluaran_5BT,frekuensi_pengeluaran_6BT,frekuensi_pemasukan_1BT,frekuensi_pemasukan_2BT,frekuensi_pemasukan_3BT,frekuensi_pemasukan_4BT,frekuensi_pemasukan_5BT,frekuensi_pemasukan_6BT,tgl data
MLAD727,31.0,X,M,,B,Usaha Mandiri,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20461.33387,21025.71527,21589.67759,22150.53649,22708.30906,23263.0123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
PFX6589,7.0,R,,,,,,Jasa Kegiatan Sosial,0.0,1.0,1.0,1.0,0.0,0.0,RITEL,,,18364.9402,0.0,0.0,0.0,0.0,0.0,6332.240931,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6332.240931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217606.5789,0.0,0.0,0.0,0.0,0.0,225352.8198,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
SLZ0654,62.0,H,M,,K,Pedagang,,,0.0,1.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.58802025,343.5224972,0.0,0.0,0.0,0.0,0.0,0.0,54193.55174,63672.97835,44966.16687,45479.38688,51582.13287,46403.08486,53726.90003,63769.57642,44785.62163,45010.65621,51092.11052,46831.61488,519.0,564.0,497.0,539.0,618.0,620.0,732.0,905.0,814.0,826.0,829.0,808.0,04/08/23 14.17
FG33624,41.0,H,M,,K,Usaha Mandiri,,,1.0,1.0,1.0,0.0,0.0,0.0,,,,2344.958532,561.9041648,534.3283654,418.0827559,660.5301722,482.0625366,2714.834421,2015.554513,1622.228979,0,1097.949311,602.5605877,0.0,0.0,0.0,0.0,0.0,0.0,2714.834421,2015.554513,1622.228979,0.0,1097.949311,602.5605877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72258.89388,52960.87096,38325.53839,37387.15073,38095.93151,55157.24221,72958.17379,53354.1965,39968.75429,36268.2145,38591.32023,56153.84688,539.0,535.0,390.0,361.0,444.0,647.0,132.0,128.0,103.0,104.0,123.0,131.0,04/08/23 14.17
PEH8457,30.0,K,F,,J,Usaha Mandiri,,,1.0,1.0,1.0,0.0,0.0,1.0,RITEL,,,0.0,0.0,0.0,865.1146133,2229.739248,0.0,0.0,0.0,0.0,0,2011.440664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430.521091,0.0,1386.727784,1386.727784,1398.154106,1679.366142,1960.578178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.8446147,3939.589356,872.3549634,1692.749789,0.0,0.0,0.0,1224.162472,2981.739736,2937.550127,34.0,41.0,54.0,44.0,55.0,62.0,23.0,19.0,38.0,27.0,28.0,5.0,04/08/23 14.17
EZ85150,36.0,M,M,,K,Usaha Mandiri,,,0.0,0.0,1.0,1.0,0.0,0.0,,,,10733.21701,10773.14607,10731.31024,10771.48728,11179.6115,16034.93969,10733.64356,10732.70986,10731.77636,10730.64883,10727.76427,14836.63969,0.0,0.0,0.0,5616.371204,5616.371204,5616.371204,10733.64356,10732.70986,10731.77636,3700.277629,3697.393068,7806.26849,43380.24276,44327.6373,45236.00963,46137.29141,47127.83099,48766.26737,34466.33443,34466.33443,34466.33443,34466.33443,34466.33443,34466.33443,0.0,0.0,0.0,0.0,3967.034589,6126.010827,0.0,0.0,0.0,0.0,0.0,13601.38681,4.0,3.0,6.0,6.0,6.0,9.0,0.0,0.0,0.0,1.0,0.0,2.0,04/08/23 14.17
KNV2415,48.0,Q,F,,K,Ibu RT,,,0.0,0.0,1.0,0.0,0.0,0.0,RITEL,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
DU08746,51.0,I,F,,K,Dokter,,,0.0,1.0,1.0,1.0,0.0,0.0,,,,11081.07497,0.0,0.0,0.0,0.0,0.0,33737.62722,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33737.62722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34403.63674,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
EEM4631,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17
EPJ3362,60.0,F,M,,K,Usaha Mandiri,,,1.0,1.0,1.0,0.0,0.0,1.0,,,,9.002644123,1142.177757,0.0,0.0,0.0,0.0,0.0,1477.41212,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1477.41212,0.0,0.0,0.0,0.0,33737.85602,0.0,0.0,0.0,0.0,0.0,33737.85602,0.0,0.0,0.0,0.0,0.0,35573.74691,0.0,0.0,0.0,0.0,0.0,33919.66549,1477.586895,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,04/08/23 14.17
