kode pelanggan,umur,kota,gender,education,keluarga,Pekerjaan,Penanggung,Usaha,punya_produk1,punya_produk2,punya_produk3,punya_produk4,punya_produk5,punya_produk6,jualan,omset,penghasilan,average_sisauang_mingguan_1BT,average_sisauang_mingguan_2BT,average_sisauang_mingguan_3BT,average_sisauang_mingguan_4BT,average_sisauang_mingguan_5BT,average_sisauang_mingguan_6BT,sisauang_akhir_1BT,sisauang_akhir_2BT,sisauang_akhir_3BT,sisauang_akhir_4BT,sisauang_akhir_5BT,sisauang_akhir_6BT,sisauang_tertahan_1BT,sisauang_tertahan_2BT,sisauang_tertahan_3BT,sisauang_tertahan_4BT,sisauang_tertahan_5BT,sisauang_tertahan_6BT,sisauang_tersedia_1BT,sisauang_tersedia_2BT,sisauang_tersedia_3BT,sisauang_tersedia_4BT,sisauang_tersedia_5BT,sisauang_tersedia_6BT,sisa_hutang_1BT,sisa_hutang_2BT,sisa_hutang_3BT,sisa_hutang_4BT,sisa_hutang_5BT,sisa_hutang_6BT,jumlah_pembayaran_hutang_1BT,jumlah_pembayaran_hutang_2BT,jumlah_pembayaran_hutang_3BT,jumlah_pembayaran_hutang_4BT,jumlah_pembayaran_hutang_5BT,jumlah_pembayaran_hutang_6BT,jumlah_pengeluaran_1BT,jumlah_pengeluaran_2BT,jumlah_pengeluaran_3BT,jumlah_pengeluaran_4BT,jumlah_pengeluaran_5BT,jumlah_pengeluaran_6BT,jumlah_pemasukan_1BT,jumlah_pemasukan_2BT,jumlah_pemasukan_3BT,jumlah_pemasukan_4BT,jumlah_pemasukan_5BT,jumlah_pemasukan_6BT,frekuensi_pengeluaran_1BT,frekuensi_pengeluaran_2BT,frekuensi_pengeluaran_3BT,frekuensi_pengeluaran_4BT,frekuensi_pengeluaran_5BT,frekuensi_pengeluaran_6BT,frekuensi_pemasukan_1BT,frekuensi_pemasukan_2BT,frekuensi_pemasukan_3BT,frekuensi_pemasukan_4BT,frekuensi_pemasukan_5BT,frekuensi_pemasukan_6BT,tgl data,flag
MMCZ118,3.0,I,,,,,,Restoran / Rumah Makan,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,704.1197272,436.6364595,319.671752,66.65241845,156.3232565,0.0,766.9749016,309.8471597,130.1680962,425.4565523,0.0,0.0,20.0,12.0,6.0,5.0,7.0,7.0,26.0,27.0,14.0,19.0,16.0,8.0,04/08/23 14.17,0.0
BAF3139,40.0,D,M,,K,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,1.0,,,,0.0,3112.14488,10050.76317,0.0,0.0,0.0,0.0,859.0624016,5182.92867,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813.3649888,5137.231257,0.0,0.0,0.0,25665.23439,26187.65917,26707.48481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.4547244,3015.042028,20503.83442,0.0,0.0,0.0,0.0,0.0,26759.02897,0.0,0.0,0.0,17.0,40.0,13.0,0.0,0.0,0.0,7.0,4.0,12.0,0.0,0.0,0.0,04/08/23 14.17,0.0
AXG8501,26.0,J,M,,K,Usaha Mandiri,,,0.0,1.0,1.0,1.0,0.0,1.0,,,,0.0,207.5647539,1224.104457,4549.624679,6193.930212,11328.44319,0.0,0.0,520.7885967,1425.830146,5492.28473,6390.900731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.7885967,1425.830146,5492.28473,6390.900731,29840.86256,30499.44917,31154.37366,31805.65636,32453.31763,33097.37746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2660.341817,0.0,17835.96745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,1.0
EBW5433,38.0,B,F,,K,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,0.0,RITEL,,,4053.756661,4622.846811,4206.000431,6769.053461,6638.358441,3462.229925,8910.085039,0.0,1297.269488,6561.952798,1285.220205,6888.677615,0.0,0.0,0.0,0.0,0.0,0.0,8910.085039,0.0,1297.269488,6561.952798,1285.220205,6888.677615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26423.49509,47505.32764,56575.93331,43709.05122,85419.92598,47822.43671,36104.64124,46419.84294,41591.55793,48985.78382,79816.46857,45240.18209,7.0,11.0,16.0,19.0,26.0,23.0,38.0,57.0,40.0,49.0,112.0,73.0,04/08/23 14.17,0.0
ZD18222,62.0,B,M,,K,Pedagang,,,1.0,0.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3225.565664,4778.324944,3801.324663,4308.607283,2461.787402,2917.004851,3319.283886,4775.489665,3801.110658,4301.26378,2449.917885,2398.262725,27.0,38.0,49.0,45.0,55.0,48.0,190.0,237.0,217.0,230.0,187.0,193.0,04/08/23 14.17,0.0
ATPK257,29.0,H,F,,B,Usaha Mandiri,,,0.0,1.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.2589989,0.0,0.0,0.0,0.0,0.0,1582.837598,166.2980174,0.0,0.0,0.0,0.0,14.0,7.0,0.0,0.0,0.0,0.0,22.0,14.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
O405257,41.0,E,M,,K,Usaha Mandiri,,,0.0,0.0,1.0,0.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
DYT2657,54.0,N,M,,K,Pengacara,,,0.0,0.0,1.0,0.0,0.0,0.0,,,,20940.01535,12512.41013,2140.391258,0.0,0.0,0.0,24635.12627,17606.19636,6254.419713,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24635.12627,17606.19636,6254.419713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5620.697132,9941.463864,6185.45613,0.0,0.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,17.0,26.0,29.0,0.0,0.0,0.0,04/08/23 14.17,0.0
IFS2701,48.0,F,F,,K,Ibu RT,suami,,0.0,0.0,1.0,0.0,1.0,0.0,CHAIN,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24013.90741,0.0,0.0,0.0,0.0,0.0,20734.57389,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
SANYO57,37.0,R,F,,K,Karyawan,,,0.0,0.0,1.0,0.0,0.0,0.0,RITEL,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,04/08/23 14.17,0.0
